backend,platform,configuration,width,height,render_ms,frame_ms,render_fps,frame_fps
CPU,Win64,Debug,1920,1080,6822.83,6830.41,0.146567,0.146404
CPU,Win64,Debug,1920,1080,6734.96,6737.6,0.148479,0.148421
CPU,Win64,Debug,1920,1080,6731.38,6732.77,0.148558,0.148527
CPU,Win64,Debug,1920,1080,6751.49,6754.8,0.148115,0.148043
CPU,Win64,Debug,1920,1080,6763.11,6765.43,0.147861,0.14781
CPU,Win64,Debug,1920,1080,6734.3,6737.18,0.148493,0.14843
CPU,Win64,Debug,1920,1080,6721.89,6724.69,0.148768,0.148706
CPU,Win64,Debug,1920,1080,6711.81,6714.35,0.148991,0.148935
CPU,Win64,Debug,1920,1080,6735.24,6738.6,0.148473,0.148399
CPU,Win64,Debug,1920,1080,6722.35,6727.05,0.148757,0.148654
CPU,Win64,Debug,1920,1080,6716.55,6719.35,0.148886,0.148824
CPU,Win64,Debug,1920,1080,6726.76,6729.01,0.14866,0.14861
CPU,Win64,Debug,1920,1080,6757.12,6758.5,0.147992,0.147962
CPU,Win64,Debug,1920,1080,6773.67,6775.96,0.14763,0.147581
CPU,Win64,Debug,1920,1080,6988.62,7002.15,0.14309,0.142813
CPU,Win64,Debug,1920,1080,6852.99,6856.18,0.145922,0.145854
CPU,Win64,Debug,1920,1080,6621.15,6627.77,0.151031,0.15088
CPU,Win64,Debug,1920,1080,6520.4,6523.48,0.153365,0.153293
CPU,Win64,Debug,1920,1080,6609.57,6610.75,0.151296,0.151269
CPU,Win64,Debug,1920,1080,6571.67,6589.71,0.152168,0.151752
CPU,Win64,Debug,1920,1080,6582.93,6592.26,0.151908,0.151693
CPU,Win64,Debug,1920,1080,6555.3,6562.17,0.152548,0.152389
CPU,Win64,Debug,1920,1080,6570.17,6573.73,0.152203,0.152121
CPU,Win64,Debug,1920,1080,6535.17,6537.21,0.153018,0.152971
CPU,Win64,Debug,1920,1080,6562.06,6565.65,0.152391,0.152308
CPU,Win64,Debug,1920,1080,6560.09,6562.3,0.152437,0.152386
CPU,Win64,Debug,1920,1080,6546.13,6548.52,0.152762,0.152706
CPU,Win64,Debug,1920,1080,6541.93,6543.54,0.15286,0.152822
CPU,Win64,Debug,1920,1080,6546.88,6549.03,0.152745,0.152694
CPU,Win64,Debug,1920,1080,6552.04,6553.77,0.152624,0.152584
CPU,Win64,Debug,1920,1080,6685.23,6686.88,0.149583,0.149547
CPU,Win64,Debug,1920,1080,6601.59,6605.01,0.151479,0.1514
