backend,platform,configuration,width,height,render_ms,frame_ms,render_fps,frame_fps
CPU,Win64,Release,1920,1080,280.745,292.201,3.56196,3.4223
CPU,Win64,Release,1920,1080,278.681,283.409,3.58834,3.52847
CPU,Win64,Release,1920,1080,274.729,276.628,3.63995,3.61497
CPU,Win64,Release,1920,1080,273.063,274.767,3.66215,3.63944
CPU,Win64,Release,1920,1080,274.532,275.765,3.64257,3.62627
CPU,Win64,Release,1920,1080,264.557,265.657,3.7799,3.76425
CPU,Win64,Release,1920,1080,264.721,266.341,3.77756,3.75459
CPU,Win64,Release,1920,1080,268.441,269.611,3.72522,3.70905
CPU,Win64,Release,1920,1080,265.593,267.206,3.76516,3.74244
CPU,Win64,Release,1920,1080,265.724,266.9,3.7633,3.74672
CPU,Win64,Release,1920,1080,265.113,266.223,3.77197,3.75625
CPU,Win64,Release,1920,1080,263.496,264.524,3.79512,3.78038
CPU,Win64,Release,1920,1080,264.613,265.614,3.7791,3.76487
CPU,Win64,Release,1920,1080,264.537,265.467,3.78019,3.76695
CPU,Win64,Release,1920,1080,268.94,270.327,3.7183,3.69922
CPU,Win64,Release,1920,1080,266.783,268.381,3.74836,3.72605
CPU,Win64,Release,1920,1080,268.774,493.308,3.72059,2.02713
CPU,Win64,Release,1920,1080,267.622,269.844,3.73661,3.70585
CPU,Win64,Release,1920,1080,266.908,268.938,3.74661,3.71834
CPU,Win64,Release,1920,1080,267.904,270.628,3.73268,3.69511
CPU,Win64,Release,1920,1080,266.397,268.514,3.7538,3.72421
CPU,Win64,Release,1920,1080,276.574,279.523,3.61566,3.57752
CPU,Win64,Release,1920,1080,271.266,274.011,3.68642,3.64948
CPU,Win64,Release,1920,1080,269.228,270.599,3.71433,3.69551
CPU,Win64,Release,1920,1080,268.892,271.457,3.71897,3.68383
CPU,Win64,Release,1920,1080,267.492,268.893,3.73843,3.71896
CPU,Win64,Release,1920,1080,268.493,269.854,3.72448,3.7057
CPU,Win64,Release,1920,1080,266.349,267.622,3.75448,3.73661
CPU,Win64,Release,1920,1080,273.924,275.38,3.65065,3.63135
CPU,Win64,Release,1920,1080,265.568,267.336,3.76551,3.74061
CPU,Win64,Release,1920,1080,267.39,272.578,3.73985,3.66868
CPU,Win64,Release,1920,1080,265.215,266.793,3.77053,3.74822
CPU,Win64,Release,1920,1080,271.548,273.359,3.68258,3.65819
CPU,Win64,Release,1920,1080,263.531,264.869,3.79463,3.77545
CPU,Win64,Release,1920,1080,266.974,268.775,3.74568,3.72059
CPU,Win64,Release,1920,1080,270.219,272.242,3.7007,3.67321
CPU,Win64,Release,1920,1080,266.521,267.789,3.75205,3.73429
CPU,Win64,Release,1920,1080,267.767,269.294,3.73459,3.71342
CPU,Win64,Release,1920,1080,267.507,270.575,3.73822,3.69584
CPU,Win64,Release,1920,1080,267.623,268.955,3.7366,3.7181
CPU,Win64,Release,1920,1080,265.949,267.547,3.76012,3.73766
CPU,Win64,Release,1920,1080,264.826,266.12,3.77606,3.7577
CPU,Win64,Release,1920,1080,267.447,269.06,3.73905,3.71665
CPU,Win64,Release,1920,1080,267.729,269.806,3.73512,3.70636
CPU,Win64,Release,1920,1080,267.742,269.289,3.73494,3.71348
CPU,Win64,Release,1920,1080,268.523,269.839,3.72407,3.70591
CPU,Win64,Release,1920,1080,269.111,270.615,3.71593,3.69528
CPU,Win64,Release,1920,1080,269.286,270.885,3.71352,3.69161
CPU,Win64,Release,1920,1080,266.351,267.986,3.75444,3.73153
CPU,Win64,Release,1920,1080,271.443,277.22,3.68401,3.60725
CPU,Win64,Release,1920,1080,267.315,268.423,3.7409,3.72546
CPU,Win64,Release,1920,1080,267.707,271.398,3.73542,3.68462
CPU,Win64,Release,1920,1080,267.024,268.587,3.74499,3.72319
CPU,Win64,Release,1920,1080,268.04,271.137,3.73078,3.68817
CPU,Win64,Release,1920,1080,267.718,269.327,3.73527,3.71295
CPU,Win64,Release,1920,1080,267.101,268.604,3.7439,3.72295
CPU,Win64,Release,1920,1080,271.096,272.669,3.68873,3.66746
CPU,Win64,Release,1920,1080,267.393,269.754,3.73981,3.70708
CPU,Win64,Release,1920,1080,269.622,271.247,3.70889,3.68668
CPU,Win64,Release,1920,1080,266.185,267.447,3.75679,3.73906
CPU,Win64,Release,1920,1080,267.565,269.169,3.73741,3.71514
CPU,Win64,Release,1920,1080,268.316,269.664,3.72695,3.70831
CPU,Win64,Release,1920,1080,267.239,268.734,3.74197,3.72115
CPU,Win64,Release,1920,1080,265.452,267.003,3.76716,3.74528
CPU,Win64,Release,1920,1080,267.701,268.993,3.73552,3.71756
CPU,Win64,Release,1920,1080,270.194,272.753,3.70104,3.66632
CPU,Win64,Release,1920,1080,267.589,269.191,3.73708,3.71484
CPU,Win64,Release,1920,1080,267.42,269.023,3.73943,3.71715
CPU,Win64,Release,1920,1080,266.006,267.561,3.75931,3.73747
CPU,Win64,Release,1920,1080,268.181,269.798,3.72883,3.70648
CPU,Win64,Release,1920,1080,268.53,271.367,3.72398,3.68504
CPU,Win64,Release,1920,1080,266.389,267.983,3.75391,3.73157
CPU,Win64,Release,1920,1080,265.688,267.175,3.76382,3.74287
CPU,Win64,Release,1920,1080,268.063,270.004,3.73046,3.70365
CPU,Win64,Release,1920,1080,267.606,269.071,3.73684,3.71649
CPU,Win64,Release,1920,1080,268.21,273.643,3.72843,3.6544
CPU,Win64,Release,1920,1080,266.268,268.051,3.75561,3.73064
CPU,Win64,Release,1920,1080,262.095,263.63,3.81541,3.7932
CPU,Win64,Release,1920,1080,266.663,270.47,3.75005,3.69727
CPU,Win64,Release,1920,1080,273.193,275.317,3.66042,3.63218
CPU,Win64,Release,1920,1080,271.69,273.318,3.68067,3.65874
CPU,Win64,Release,1920,1080,268.362,269.743,3.7263,3.70724
CPU,Win64,Release,1920,1080,266.493,268.047,3.75244,3.73068
CPU,Win64,Release,1920,1080,268.334,269.796,3.7267,3.70651
CPU,Win64,Release,1920,1080,269.411,271.094,3.7118,3.68875
CPU,Win64,Release,1920,1080,268.497,270.068,3.72443,3.70277
CPU,Win64,Release,1920,1080,267.015,268.582,3.74511,3.72326
CPU,Win64,Release,1920,1080,270.563,271.866,3.696,3.67828
CPU,Win64,Release,1920,1080,271.762,273.122,3.67969,3.66137
CPU,Win64,Release,1920,1080,267.259,268.966,3.74169,3.71795
CPU,Win64,Release,1920,1080,271.247,272.678,3.68667,3.66732
CPU,Win64,Release,1920,1080,272.571,274.551,3.66876,3.64231
CPU,Win64,Release,1920,1080,266.685,269.161,3.74974,3.71525
CPU,Win64,Release,1920,1080,268.841,270.202,3.71967,3.70093
CPU,Win64,Release,1920,1080,268.399,269.866,3.7258,3.70554
CPU,Win64,Release,1920,1080,274.874,276.622,3.63803,3.61503
