backend,render_ms,frame_ms,render_fps,frame_fps
CUDA,1.634,12.2271,611.995,81.7855
CUDA,1.0866,4.2531,920.302,235.123
CUDA,1.0674,2.7921,936.856,358.153
CUDA,1.462,2.615,683.995,382.409
CUDA,1.434,2.5117,697.35,398.137
CUDA,1.0844,2.8314,922.169,353.182
CUDA,1.2645,2.2853,790.826,437.579
CUDA,1.5468,2.6002,646.496,384.586
CUDA,1.3153,2.3286,760.283,429.443
CUDA,1.4748,2.5401,678.058,393.685
CUDA,1.3065,2.3127,765.404,432.395
CUDA,1.1142,2.5643,897.505,389.97
CUDA,1.0785,2.0318,927.214,492.174
CUDA,1.2798,2.0479,781.372,488.305
CUDA,1.2837,2.0385,778.998,490.557
CUDA,1.3046,2.0518,766.518,487.377
CUDA,1.0438,2.2452,958.038,445.395
CUDA,1.282,2.1504,780.031,465.03
CUDA,1.3849,2.627,722.074,380.662
CUDA,1.3696,2.3531,730.14,424.971
CUDA,1.0879,2.2174,919.202,450.979
CUDA,1.3936,2.1627,717.566,462.385
CUDA,1.3331,2.1201,750.131,471.676
CUDA,1.4088,2.2084,709.824,452.816
CUDA,1.0817,2.3135,924.471,432.246
CUDA,1.3734,2.2213,728.12,450.187
CUDA,1.3945,2.1806,717.103,458.589
CUDA,1.0967,2.4706,911.826,404.76
CUDA,1.3473,2.1972,742.225,455.125
CUDA,1.3453,2.197,743.329,455.166
CUDA,1.5622,2.5407,640.123,393.592
CUDA,1.0396,2.1762,961.908,459.517
CUDA,1.4085,2.314,709.975,432.152
CUDA,1.6719,3.1394,598.122,318.532
CUDA,1.7182,2.6309,582.004,380.098
CUDA,1.1904,2.3558,840.054,424.484
CUDA,1.4322,2.2922,698.227,436.262
CUDA,1.6918,2.6429,591.086,378.372
CUDA,1.1736,2.5588,852.079,390.808
CUDA,1.485,2.7394,673.401,365.043
CUDA,1.1107,5.2443,900.333,190.683
CUDA,1.678,2.7402,595.948,364.937
CUDA,1.2354,3.0222,809.454,330.885
CUDA,1.7835,3.0618,560.695,326.605
CUDA,1.253,2.9504,798.085,338.937
CUDA,1.44,2.4652,694.444,405.647
CUDA,1.3553,2.3988,737.844,416.875
CUDA,1.4217,2.4134,703.383,414.353
CUDA,1.4549,2.3715,687.332,421.674
CUDA,1.6835,2.8473,594.001,351.21
CUDA,1.4957,3.7839,668.583,264.278
CUDA,1.5126,2.3812,661.113,419.956
CUDA,1.6746,2.5174,597.158,397.235
CUDA,1.0645,2.4125,939.408,414.508
CUDA,1.5334,2.4286,652.146,411.76
CUDA,1.476,2.4532,677.507,407.631
CUDA,1.4524,2.8214,688.516,354.434
CUDA,1.4469,2.3114,691.133,432.638
CUDA,1.1798,3.0275,847.601,330.306
CUDA,1.3564,2.2458,737.246,445.276
CUDA,1.2958,2.2112,771.724,452.243
CUDA,1.3889,2.2221,719.994,450.025
CUDA,1.3936,2.3492,717.566,425.677
