backend,platform,configuration,width,height,render_ms,frame_ms,render_fps,frame_fps
CUDA,Win64,Release,1920,1080,1.7729,10.8359,564.048,92.2858
CUDA,Win64,Release,1920,1080,1.09,5.0036,917.431,199.856
CUDA,Win64,Release,1920,1080,1.3393,2.4207,746.659,413.104
CUDA,Win64,Release,1920,1080,1.3898,2.3762,719.528,420.84
CUDA,Win64,Release,1920,1080,1.145,2.1619,873.362,462.556
CUDA,Win64,Release,1920,1080,1.3812,2.8639,724.008,349.174
CUDA,Win64,Release,1920,1080,1.1002,2.7614,908.926,362.135
CUDA,Win64,Release,1920,1080,1.1654,2.2167,858.074,451.121
CUDA,Win64,Release,1920,1080,1.3016,2.3381,768.285,427.698
CUDA,Win64,Release,1920,1080,1.1501,2.1206,869.49,471.565
CUDA,Win64,Release,1920,1080,1.0738,1.9574,931.272,510.882
CUDA,Win64,Release,1920,1080,1.0751,1.9032,930.146,525.431
CUDA,Win64,Release,1920,1080,1.5475,2.3282,646.204,429.516
CUDA,Win64,Release,1920,1080,1.198,1.9988,834.724,500.3
CUDA,Win64,Release,1920,1080,1.1496,1.9274,869.868,518.834
CUDA,Win64,Release,1920,1080,1.2006,1.9535,832.917,511.902
CUDA,Win64,Release,1920,1080,1.1651,1.9555,858.295,511.378
CUDA,Win64,Release,1920,1080,1.1784,1.9249,848.608,519.508
CUDA,Win64,Release,1920,1080,1.3081,2.138,764.468,467.727
CUDA,Win64,Release,1920,1080,1.3085,2.4037,764.234,416.025
CUDA,Win64,Release,1920,1080,1.1874,2.0356,842.176,491.256
CUDA,Win64,Release,1920,1080,1.395,2.2888,716.846,436.91
CUDA,Win64,Release,1920,1080,1.1236,1.9779,889.996,505.587
CUDA,Win64,Release,1920,1080,1.224,2.0844,816.993,479.754
CUDA,Win64,Release,1920,1080,1.2645,2.1274,790.826,470.057
CUDA,Win64,Release,1920,1080,1.2545,2.1823,797.13,458.232
CUDA,Win64,Release,1920,1080,1.3355,2.2335,748.783,447.728
CUDA,Win64,Release,1920,1080,1.2129,2.0756,824.47,481.788
CUDA,Win64,Release,1920,1080,1.2215,2.0751,818.666,481.904
CUDA,Win64,Release,1920,1080,1.2116,2.1042,825.355,475.24
CUDA,Win64,Release,1920,1080,1.2831,2.2008,779.362,454.38
CUDA,Win64,Release,1920,1080,1.1658,2.0444,857.78,489.141
CUDA,Win64,Release,1920,1080,1.1476,2.1197,871.384,471.765
CUDA,Win64,Release,1920,1080,1.292,2.3043,773.994,433.971
CUDA,Win64,Release,1920,1080,1.3203,2.2799,757.404,438.616
CUDA,Win64,Release,1920,1080,1.3515,2.4615,739.919,406.256
CUDA,Win64,Release,1920,1080,1.1907,2.1387,839.842,467.574
CUDA,Win64,Release,1920,1080,1.195,2.1025,836.82,475.624
CUDA,Win64,Release,1920,1080,1.242,2.1426,805.153,466.723
